v8-version,4,4,63,30,0
code-creation,Stub,11,0x23d2c90cec0,232,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c90cfc0,414,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x23d2c90d160,442,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x23d2c90d320,232,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c90d420,442,"BinaryOpICStub(ADD:Number*Int32->Number)"
tick,0x7fcd18c90187,14516,0,0x0,4
tick,0x7fcd18c90187,14594,0,0x0,4
tick,0xb0c8ba,14666,0,0x0,4
tick,0xb59748,14747,0,0x0,4
tick,0xb024a8,14820,0,0x0,4
tick,0x7fcd18c90187,14893,0,0x0,4
tick,0xb332ef,14970,0,0x0,4
tick,0xb0836e,15037,0,0x0,4
tick,0x7fcd18c90187,15102,0,0x0,4
tick,0x7fcd1981ab41,15167,0,0x0,4
tick,0x7fcd18c90187,15260,0,0x0,4
tick,0x7fcd18f8210d,15342,0,0x0,4
code-creation,Stub,11,0x23d2c90d5e0,466,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x23d2c90d7c0,442,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x23d2c90d980,232,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c90da80,414,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x23d2c90dc20,442,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x23d2c90dde0,232,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,11,0x23d2c90dee0,232,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c90dfe0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
tick,0x7fcd18c90187,16403,0,0x0,4
code-creation,Stub,11,0x23d2c90e0c0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,11,0x23d2c90e1a0,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c90e280,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,2,0x23d2c90e360,184,"DoubleToIStub"
code-creation,Stub,11,0x23d2c90e420,332,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,11,0x23d2c90e580,332,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,11,0x23d2c90e6e0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c90e7c0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
tick,0x7fcd18c90187,17457,0,0x0,4
code-creation,Stub,11,0x23d2c90e8a0,332,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,11,0x23d2c90ea00,212,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c90eae0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c90ebc0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,11,0x23d2c90eca0,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c90ed80,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,11,0x23d2c90ee60,332,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,11,0x23d2c90efc0,332,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
tick,0x7fcd18c90187,18624,0,0x0,4
code-creation,Stub,11,0x23d2c90f120,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,11,0x23d2c90f200,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,11,0x23d2c90f2e0,212,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,11,0x23d2c90f3c0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,11,0x23d2c90f4a0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,11,0x23d2c90f580,332,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
tick,0x7fcd18c90187,19677,0,0x0,4
code-creation,Stub,11,0x23d2c90f6e0,212,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,11,0x23d2c90f7c0,332,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
